"","ID","Sentence"
"1",1,"Lady Bertram made no objection; and every one concerned in the going was forward in expressing their ready concurrence, excepting Edmund, who heard it all and said nothing"
"2",2,"    CHAPTER VII  ""Well, Fanny, and how do you like Miss Crawford _now_?"" said Edmund the next day, after thinking some time on the subject himself"
"3",3," ""How did you like her yesterday?""  ""Very well--very much"
"4",4," I like to hear her talk"
"5",5," She entertains me; and she is so extremely pretty, that I have great pleasure in looking at her"
"6",6,"""  ""It is her countenance that is so attractive"
"7",7," She has a wonderful play of feature! But was there nothing in her conversation that struck you, Fanny, as not quite right?""  ""Oh yes! she ought not to have spoken of her uncle as she did"
"8",8," I was quite astonished"
"9",9," An uncle with whom she has been living so many years, and who, whatever his faults may be, is so very fond of her brother, treating him, they say, quite like a son"
"10",10," I could not have believed it!""  ""I thought you would be struck"
"11",11," It was very wrong; very indecorous"
"12",12,"""  ""And very ungrateful, I think"
"13",13,"""  ""Ungrateful is a strong word"
"14",14," I do not know that her uncle has any claim to her _gratitude_; his wife certainly had; and it is the warmth of her respect for her aunt's memory which misleads her here"
"15",15," She is awkwardly circumstanced"
"16",16," With such warm feelings and lively spirits it must be difficult to do justice to her affection for Mrs"
"17",17," Crawford, without throwing a shade on the Admiral"
"18",18," I do not pretend to know which was most to blame in their disagreements, though the Admiral's present conduct might incline one to the side of his wife; but it is natural and amiable that Miss Crawford should acquit her aunt entirely"
"19",19," I do not censure her _opinions_; but there certainly _is_ impropriety in making them public"
"20",20,"""  ""Do not you think,"" said Fanny, after a little consideration, ""that this impropriety is a reflection itself upon Mrs"
"21",21," Crawford, as her niece has been entirely brought up by her? She cannot have given her right notions of what was due to the Admiral"
"22",22,"""  ""That is a fair remark"
"23",23," Yes, we must suppose the faults of the niece to have been those of the aunt; and it makes one more sensible of the disadvantages she has been under"
"24",24," But I think her present home must do her good"
"25",25," Mrs"
"26",26," Grant's manners are just what they ought to be"
"27",27," She speaks of her brother with a very pleasing affection"
"28",28,"""  ""Yes, except as to his writing her such short letters"
"29",29," She made me almost laugh; but I cannot rate so very highly the love or good-nature of a brother who will not give himself the trouble of writing anything worth reading to his sisters, when they are separated"
"30",30," I am sure William would never have used _me_ so, under any circumstances"
"31",31," And what right had she to suppose that _you_ would not write long letters when you were absent?""  ""The right of a lively mind, Fanny, seizing whatever may contribute to its own amusement or that of others; perfectly allowable, when untinctured by ill-humour or roughness; and there is not a shadow of either in the countenance or manner of Miss Crawford: nothing sharp, or loud, or coarse"
"32",32," She is perfectly feminine, except in the instances we have been speaking of"
"33",33," There she cannot be justified"
"34",34," I am glad you saw it all as I did"
"35",35,"""  Having formed her mind and gained her affections, he had a good chance of her thinking like him; though at this period, and on this subject, there began now to be some danger of dissimilarity, for he was in a line of admiration of Miss Crawford, which might lead him where Fanny could not follow"
"36",36," Miss Crawford's attractions did not lessen"
"37",37," The harp arrived, and rather added to her beauty, wit, and good-humour; for she played with the greatest obligingness, with an expression and taste which were peculiarly becoming, and there was something clever to be said at the close of every air"
"38",38," Edmund was at the Parsonage every day, to be indulged with his favourite instrument: one morning secured an invitation for the next; for the lady could not be unwilling to have a listener, and every thing was soon in a fair train"
