"Doc.ID","Text","Reference","Length"
1,"was sure of being liked wherever he appeared, Darcy was continually","5d23N",67
2,"in your eyes. I never heard you speak ill of a human being in your","gWh3Y",66
3,"","pD0Qu",0
4,"","nyEWd",0
5,"","8B3RV",0
6,"attention! Were the same fair prospect to arise at present as had","gWh3Y",65
7,"the dining-parlour for common use; it was a better sized room, and had a","5d23N",72
8,"get husbands, you can't think. She says Lizzy had better have taken Mr.","0mIZL",71
9,"","Q3Mja",0
10,"necessity of constant company for her friends. But really, and upon my","8B3RV",70
11,"","0mIZL",0
12,"","TGzfh",0
13,"added, ""I shall insist on their giving one also. I shall tell Colonel","TGzfh",69
14,"","Q3Mja",0
15,"expected there in the course of a few weeks, and though there were not","Q3Mja",70
16,"hills behind the house, and of the beautiful oaks and Spanish chestnuts","TGzfh",71
17,"occasion of dictating to others. In the intervals of her discourse","nyEWd",66
18,"amazing!--but to speak with such civility, to inquire after her family!","nyEWd",71
19,"Their affectionate mother shared all their grief; she remembered what","PIG03",69
20,"assure him that her ladyship was quite well yesterday se'nnight.""","PIG03",65
21,"while he was present, Jane had no attention to bestow on anyone else;","8B3RV",69
22,"""My real purpose was to see _you_, and to judge, if I could, whether I","gWh3Y",70
23,"the feelings of others, were such as to form the groundwork of","gWh3Y",62
24,"and it cannot be delayed. Imprudent as the marriage between Mr. Wickham","pD0Qu",71
25,"","PIG03",0
26,"frequently occurring. The united efforts of his two unfeeling sisters","Q3Mja",69
27,"supper, therefore, she considered it a most unlucky perverseness which","Q3Mja",70
28,"friend; so easily guided that his worth was invaluable; but she checked","Q3Mja",71
29,"but it will have no effect on me.""","PIG03",34
30,"not adequate to the risk!""","yQdWV",26
31,"Wickham, Georgiana also recovered in time, though not enough to be able","TGzfh",71
32,"Mr. Bennet and his daughters saw all the advantages of Wickham's removal","yQdWV",72
33,"her behaviour towards the undeserving of the other sex.""","PIG03",56
34,"misery of shame, that she could hardly keep her seat. It drew from her,","pD0Qu",71
35,"the neighbourhood.""","5d23N",19
36,"It will pass away soon enough.""","5d23N",31
37,"my news; it is about dear Wickham; too good for the waiter, is it not?","nyEWd",70
38,"the party entered the assembly room it consisted of only five","pD0Qu",61
39,"Sir William did not say much. He was storing his memory with anecdotes","0mIZL",70
40,"disposed towards everyone, had been scarcely ever clouded. Elizabeth","gWh3Y",68
41,"walking about the room, speaking occasionally to one of his own party.","PIG03",70
42,"","TGzfh",0
43,"Elizabeth's mind was too full for conversation, but she saw and admired","TGzfh",71
44,"little time, therefore--I shall certainly try to get the better.""","Q3Mja",65
45,"","8B3RV",0
46,"she valued beyond that of any other person. Elizabeth would wonder,","gWh3Y",67
47,"They were within twenty yards of each other, and so abrupt was his","8B3RV",66
48,"","PIG03",0
49,"he added, so heartily approved his marriage, that she wished it to take","gWh3Y",71
50,"his profession, intended to provide for him in it. As for myself, it is","pD0Qu",71
51,"","5d23N",0
52,"well over; the agitations of former partiality entirely so. She had even","0mIZL",72
53,"thought that he could not well avoid including him in his invitation to","gWh3Y",71
54,"Mr. Collins and Charlotte were both standing at the gate in conversation","TGzfh",72
55,"are perfectly good. But how came you to tell me that he was so","PIG03",62
56,"and told her with great exultation that he had just been so fortunate as","5d23N",72
57,"horses?""","Q3Mja",8
58,"and have his library to himself; for thither Mr. Collins had followed","yQdWV",69
59,"filling him with fears and regrets in disposing of her--was a wretched","nyEWd",70
60,"out with such cold meat as an inn larder usually affords, exclaiming,","Q3Mja",69
61,"ladies; not deficient in good humour when they were pleased, nor in the","pD0Qu",71
62,"Bingleys were no otherwise in her thoughts at the same time, than as she","yQdWV",72
63,"""La! my dear,"" said Maria, quite shocked at the mistake, ""it is not","PIG03",67
64,"shocking it was to have a bad cold, and how excessively they disliked","5d23N",69
65,"such a man to be worked on? How are they even to be discovered? I have","nyEWd",70
66,"other designs that he had formed; but he was in such a hurry to be gone,","yQdWV",72
67,"without mortification; and though the uncomfortable feelings arising","nyEWd",68
68,"house, he was used to be free from them there; his civility, therefore,","pD0Qu",71
69,"the little value he put on his own good qualities. Elizabeth was pleased","0mIZL",72
70,"scolding her, a month passed away before she could speak to Sir William","nyEWd",71
71,"""I deserve neither such praise nor such censure,"" cried Elizabeth; ""I am","nyEWd",72
72,"after receiving his explanatory letter. Both sisters were uncomfortable","gWh3Y",71
73,"to him, without any reason. It is such a spur to one's genius, such an","pD0Qu",70
74,"know in what part of town he has now concealed himself. If there were","TGzfh",69
75,"round the room, took notice of some little alteration in it, and","nyEWd",64
76,"would not have recognized it for Mr. Darcy. There was now an interest,","8B3RV",70
77,"","Q3Mja",0
78,"to accept the honour of their invitation, etc. Mrs. Bennet was quite","nyEWd",68
79,"dance.""","0mIZL",7
80,"mile across the park. Every park has its beauty and its prospects; and","PIG03",70
81,"Bennet was diffuse in her good wishes for the felicity of her daughter,","5d23N",71
82,"console yourself as much as possible, to throw off your unworthy child","8B3RV",70
83,"Netherfield Park is let at last?""","5d23N",33
84,"Wickham, his cruelty towards whom he had not attempted to deny, soon","TGzfh",68
85,"hearty consent to his marrying whichever he chooses of the girls; though","Q3Mja",72
86,"all the objections which had made him prevent his friend's marrying","yQdWV",67
87,"him, though what she chiefly wished to hear she could not hope to be","Q3Mja",68
88,"","nyEWd",0
89,"""I will not trust myself on the subject,"" replied Wickham; ""I can hardly","yQdWV",72
90,"symptom of resentment or any unnecessary complaisance.","pD0Qu",54
91,"imperturbably grave. She looked at her father to entreat his","TGzfh",60
92,"contrivance. Breakfast was scarcely over when a servant from Netherfield","TGzfh",72
93,"good deal counteracted by the self-conceit of a weak head, living in","nyEWd",68
94,"consent to what she termed so disgraceful a match. I thought it my duty","Q3Mja",71
95,"","gWh3Y",0
96,"""I am very sensible, madam, of the hardship to my fair cousins, and","gWh3Y",67
97,"""What should not you mind?""","5d23N",27
98,"some slight observation on the dance. He replied, and was again","5d23N",63
99,"Wickham and herself. Jane listened with astonishment and concern; she","0mIZL",69
100,"""You shall have it in a few words. Miss Bingley sees that her brother is","yQdWV",72
101,"took to disguise yourself, your feelings were always noble and just; and","PIG03",72
102,"and improvement of his dwelling, which he cannot be excused from making","TGzfh",71
103,"Elizabeth was chiefly struck by his extraordinary deference for Lady","TGzfh",68
104,"mind; Charlotte tried to console her:","5d23N",37
105,"instrument is a capital one, probably superior to----You shall try it","0mIZL",69
106,"""It ought to be good,"" he replied, ""it has been the work of many","5d23N",64
107,"me to be selfish and overbearing; to care for none beyond my own family","8B3RV",71
108,"","Q3Mja",0
109,"cousin Elizabeth.""","5d23N",18
