"Doc.ID","Text","Reference","Length"
1,"came to leave his farewell card; and she, after apologising for not","Jlacv",67
2,"day on which his existence could be continued without the possession of","kh9bn",71
3,"mother, and doomed her to such society and such scenes as must prevent","hpZAy",70
4,"returned to the more interesting employment of walking backwards and","RjZAX",68
5,"future ennui, to provoke him to make that offer, which might give","RjZAX",65
6,"nothing can deprive me of I know.""","TCnok",34
7,"""Perhaps,"" continued Elinor, ""if I should happen to cut out, I may be","w6Mnl",69
8,"For a moment or two she could say no more; but when this emotion had","3cYH2",68
9,"likewise as a proof of his high esteem for your general character, and","3cYH2",70
10,"Brandon; he threatened me with rain when I wanted it to be fine; he has","zxBDE",71
11,"","3cYH2",0
12,"is a most serious drain.  And then I have made a little purchase within","zxBDE",71
13,"Marianne, to the surprise of her sister, determined on dining with","RjZAX",66
14,"in dread of one event.""","RjZAX",23
15,"money is once parted with, it never can return.  Your sisters will","7Fxj5",66
16,"","RjZAX",0
17,"not know; for WE of course can make no inquiry.""","w6Mnl",48
18,"in other society, it will be only to shew that my spirit is humbled, my","zxBDE",71
19,"At these words, Marianne's eyes expressed the astonishment which her","Jlacv",68
20,"see, if people do but know how to set about it, every comfort may be as","w6Mnl",71
21,"                                             ""M.D.""","i92We",51
22,"Edward was, of course, immediately convinced that nothing could have","kh9bn",68
23,"things were brought in, and already had Marianne been disappointed more","Jlacv",71
24,"the former Willoughby to her remembrance, and in spite of herself made","TCnok",70
25,"possessed, and whom she expected to see in every carriage which drove","7Fxj5",69
26,"and endeavoring, by placing around them books and other possessions, to","zxBDE",71
27,"on every side, that though it would make us miserable for a time, we","TCnok",68
28,"","i92We",0
29,"over the imaginary evils she had started.","TCnok",41
30,"to bed, to try one or two of the simplest of the remedies.","TCnok",58
31,"","TCnok",0
32,"attend such an introduction, though she could now see her with perfect","kh9bn",70
33,"could have been entertained by Mrs. Jennings's endeavours to cure a","kh9bn",67
34,"to determine intimacy;--it is disposition alone.  Seven years would be","Jlacv",70
35,"his private balls were numerous enough for any young lady who was not","3cYH2",69
36,"red, her countenance was not uncheerful.","i92We",40
37,"hand writing of her mother, never till then unwelcome, was before her;","i92We",70
38,"","3cYH2",0
39,"overpowered her in an instant; and though her family were most","3cYH2",62
40,"dotted over with timber, the house itself was under the guardianship of","RjZAX",71
41,"calculated to give increasing intimacy to his acquaintance with the","zxBDE",67
42,"if, after all that has openly passed between them, you can doubt the","7Fxj5",68
43,"extraordinary conversation, was now softened again;--yet she felt it","kh9bn",68
44,"still under her care, and she was known to have been greatly injured,","kh9bn",69
45,"house that to my knowledge has five sitting rooms on the ground-floor,","7Fxj5",70
46,"twisted tree.  Should not you, Marianne?  Forgive me, if I am very","kh9bn",66
47,"","zxBDE",0
48,"cold-hearted! Ashamed of being otherwise.  Use those words again, and I","3cYH2",71
49,"and daughters than for himself or his son;--but to his son, and his","Jlacv",67
50,"alacrity and cheerfulness which seemed to infer that she could taste no","7Fxj5",71
51,"surprise us; but, to our great astonishment, not a line has been","i92We",64
52,"Jennings, who called on her again the next day with her","7Fxj5",55
53,"point of long debate.  To see Marianne, I felt, would be dreadful, and","kh9bn",70
54,"and he read with all the sensibility and spirit which Edward had","kh9bn",64
55,"""Yes--could that be wrong after all that had passed?-- But I cannot","RjZAX",67
56,"","Jlacv",0
57,"off; poor Lucy in such a condition, he says, she could hardly walk; and","Jlacv",71
58,"takes place, depend upon it his mother will feel as much as if she had","kh9bn",70
59,"life to despair of such a happiness.  Why should you be less fortunate","zxBDE",70
60,"to think that you and yours feel an interest in my fate and actions, it","TCnok",71
61,"income, and could struggle with any poverty for him; but I love him too","RjZAX",71
62,"""Yes, ma'am, she said how she was very well; and to my mind she was","TCnok",67
63,"","zxBDE",0
64,"","Jlacv",0
65,"every view, as one of the most extraordinary and unaccountable","i92We",62
66,"the future;--for though a very few hours spent in the hard labor of","hpZAy",67
67,"     would grieve me indeed to be obliged to think ill","TCnok",54
68,"prepared for such a question, and having no answer ready, was obliged","7Fxj5",69
69,"","kh9bn",0
70,"bias in favour of beauty, he was the husband of a very silly","TCnok",60
71,"unanimous in agreeing to go early to bed.","7Fxj5",41
72,"Marianne.--THEN, if I had not been bound to silence, perhaps nothing","3cYH2",68
73,"every where, her sister could never obtain her opinion of any article","w6Mnl",69
74,"greatly endear it to me; but this place will always have one claim of","i92We",69
75,"ecstasy of more than hope, she felt as if, till that instant, she had","TCnok",69
76,"""Your sister's marriage.""","RjZAX",25
77,"been the easiest thing in the world; but she equally feared to say too","Jlacv",70
78,"""Upon my soul it is,""--was his answer, with a warmth which brought all","TCnok",70
79,"","zxBDE",0
80,"agreed that secrecy may be necessary, and we must acknowledge that it","3cYH2",69
81,"the grounds, and an evening merely cold or damp would not have deterred","3cYH2",71
82,"know myself better.  I felt that she was infinitely dearer to me than","RjZAX",69
83,"very glad to get her so good a mistress.  But whether she would do for","kh9bn",70
84,"pain, and she hardly knew how to make a very gracious return to the","hpZAy",67
85,"confidence, on your side, would have made the blow more dreadful.""","7Fxj5",66
86,"does at this time of the year.  The woods and walks thickly covered","TCnok",67
87,"any place THEY can ever afford to live in.  But, however, so it is.","3cYH2",67
88,"The comfort of such a friend at that moment as Colonel Brandon--or such","w6Mnl",71
89,"He wished her a good morning, and, attended by Sir John, left the room.","zxBDE",71
90,"","Jlacv",0
91,"provoke each other to an unsuitable increase of ease and unreserve; and","w6Mnl",71
92,"","zxBDE",0
93,"shall keep it only till you can claim it.  When you leave Barton to","7Fxj5",67
94,"Longstaple than he used to be.  I do not mean to say that I am","Jlacv",62
95,"","3cYH2",0
96,"kindness by mentioning the offer, and to tell Willoughby when she saw","hpZAy",69
97,"any inconvenience to any one.  It is very right that you SHOULD go to","zxBDE",69
98,"","hpZAy",0
99,"perceived her, he left the rest of the party to the ceremony of","zxBDE",63
100,"though he esteems only those of his sex who are sportsmen likewise, is","w6Mnl",70
101,"""Offended me! How could you suppose so? Believe me,"" and Elinor spoke","TCnok",69
102,"with her mother, that really she had no leisure for going any where.""","w6Mnl",69
103,"view.  By their uncertain light she thought she could discern it to be","Jlacv",70
104,"days are more than enough for others.  I should hold myself guilty of","hpZAy",69
105,"indulgent a mother, the question could not give offence.  It would be","w6Mnl",69
106,"The two grandmothers, with not less partiality, but more sincerity,","3cYH2",67
107,"his way, if he were to wish to marry a woman who had not either a great","7Fxj5",71
108,"the innumerable comforts of a clear estate and good income as of far","RjZAX",68
109,"again how provoking it was to be so disappointed.","7Fxj5",49
110,"in her life, they were wise enough to be contented with the house as it","7Fxj5",71
111,"that they are not engaged, what distress would not such an enquiry","TCnok",66
112,"herself; and to persuade her to check her agitation, to wait, at least,","zxBDE",71
113,"She was not doomed, however, to be long in ignorance of his measures.","kh9bn",69
114,"and honesty would have led you, I know, when aware of your situation,","Jlacv",69
115,"Ferrars would only allow him five hundred a-year, she would make as","w6Mnl",67
116,"","Jlacv",0
117,"made it worse.""","i92We",15
118,"","3cYH2",0
119,"","i92We",0
120,"return your kindness with any cordiality.  But all this may be","Jlacv",62
121,"","Jlacv",0
122,"Marianne's lips quivered, and she repeated the word ""Selfish?"" in a","3cYH2",67
123,"tallest, politely decided in favour of the other.","hpZAy",49
124,"belonging to the university would have given me; for I was not entered","kh9bn",70
125,"and ask him questions which his mother answered for him, while he hung","kh9bn",70
126,"attention to other people, and their manly unstudied simplicity is much","RjZAX",71
127,"attentions and encouragements which ladies can so easily give will fix","Jlacv",70
128,"CHAPTER 16","i92We",10
129,"latter days; who had known all the murmurings of my heart!--How should","7Fxj5",70
130,"least, he had little to do but to calculate the disproportion between","kh9bn",69
131,"connected.--She said little, but every sentence aimed at cheerfulness,","7Fxj5",70
132,"the puppyism of his manner in deciding on all the different horrors of","RjZAX",70
133,"","Jlacv",0
134,"of what might arise to them from their father's inheriting that","kh9bn",63
135,"very much, and shall always be glad to see him; but as to the rest of","Jlacv",69
136,"believing herself the nicest observer of the two;--she watched his","Jlacv",66
137,"character, without any embellishment of tenderness to lead the fancy","w6Mnl",68
138,"last moments.""","Jlacv",14
139,"hear something wonderful; and giving her time only to form that idea,","zxBDE",69
140,"""How charming it will be,"" said Charlotte, ""when he is in","Jlacv",57
141,"supposed that it could make any impression on you)--a conversation","3cYH2",66
142,"much sooner.""","w6Mnl",13
143,"similarity of thoughtfulness and silence.  Mrs. Dashwood feared to","RjZAX",66
144,"long; Elinor had hardly got their last visitors out of her head, had","TCnok",68
145,"","kh9bn",0
146,"","7Fxj5",0
147,"will be when they hear it!  If I had my senses about me I might have","3cYH2",68
148,"wandering from place to place in free and luxurious solitude, she","3cYH2",65
149,"would have been greater.  But it was neither in Elinor's power, nor in","kh9bn",70
150,"could convince her, a better knowledge of mankind.","zxBDE",50
151,"particular meaning, and conversed with her there for several minutes.","i92We",69
152,"""Mr. Brandon was very well I hope?""","hpZAy",35
153,"sister's being there, quitted the room in quest of her; and Elinor was","TCnok",70
154,"","RjZAX",0
155,"one of her sisters had resolved never to be taught.","TCnok",51
156,"bold; surfaces strange and uncouth, which ought to be irregular and","kh9bn",67
157,"will hope that the storm may be weathered without our being any of us","kh9bn",69
158,"Elinor could not suppose that Sir John would be more nice in","w6Mnl",60
159,"belief? ought he not to have told me of it, to have given me the power","i92We",70
160,"forgotten.-- She must have a great deal to leave.""","Jlacv",50
161,"","zxBDE",0
162,"affliction as rendered her careless of surrounding objects.  She saw","kh9bn",68
163,"ardour, and his voice no expression.""","hpZAy",37
164,"","7Fxj5",0
165,"","3cYH2",0
166,"love Eliza; and my affection for her, as we grew up, was such, as","RjZAX",65
167,"to treat them with attention: and who could tell that they might not","zxBDE",68
168,"depravity of that mind which could dictate it, and probably, on the","w6Mnl",67
169,"that they were only eight all together.","3cYH2",39
170,"and to justify than they now are, by any body but herself.""","7Fxj5",59
171,"","hpZAy",0
172,"nor how at once to give them leisure for unrestrained conversation","kh9bn",66
173,"Not a syllable passed aloud.  They all waited in silence for the","zxBDE",64
174,"""Not so, indeed; for, seriously speaking, I am very sure that","w6Mnl",61
175,"or consequences, or any other game that was sufficiently noisy.","7Fxj5",63
176,"taste for drawing.""","7Fxj5",19
177,"""This is beyond every thing!"" exclaimed Elinor.","3cYH2",47
178,"","RjZAX",0
179,"word about it to her for the world.  You saw I did not all dinner time.","Jlacv",71
180,"these scenes, and to question him more minutely on the objects that had","TCnok",71
181,"thing possible?-- There is no great wonder in their liking one another;","w6Mnl",71
182,"what does it signify?  Delaford is a nice place, I can tell you;","TCnok",64
183,"properly worded than if it had arisen from an offer of marriage.","Jlacv",64
184,"Lucy, with a demure and settled air, seemed determined to make no","zxBDE",65
185,"","3cYH2",0
186,"his widow and daughters.","RjZAX",24
187,"","7Fxj5",0
188,"meeting of the kind Willoughby was included; and the ease and","TCnok",61
