text,speaker,season,episode,scene,utterance
"[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",Scene Directions,8,1,1,1
Great. Great! Just give me a sec to change film.,Photographer,8,1,1,2
Okay.,Monica Geller,8,1,1,3
"Okay, I know I'm not supposed to know, but I do. And I'm so excited for you!",Ross Geller,8,1,1,4
What? What's going on?,Joey Tribbiani,8,1,1,5
Monica's pregnant!,Ross Geller,8,1,1,6
Oh my God! Is that why you guys had to get married?!,Joey Tribbiani,8,1,1,7
Guys! I'm not pregnant.,Monica Geller,8,1,1,8
Ah. Slow swimmers?,Joey Tribbiani,8,1,1,9
What?! What do you mean? You-you-you're not pregnant?,Ross Geller,8,1,1,10
You didn't tell anybody I was did you?!,Monica Geller,8,1,1,11
No! I'll be right back.,Ross Geller,8,1,1,12
Now why don't we get a shot of just Monica and the bloody soldier.,Photographer,8,1,1,13
"Oh, about that. Joey, you have to change before the party.",Monica Geller,8,1,1,14
I can't! I-I don't have any other clothes here.,Joey Tribbiani,8,1,1,15
Find some! Please! Anything that doesn't say I-I died tragically in France.,Monica Geller,8,1,1,16
Well then why don't we see the bride and the groom and the bridemaids.,Photographer,8,1,1,17
"Okay. Hey Mon, why did you tell the guys you weren't pregnant?",Phoebe Buffay,8,1,1,18
Because I'm not.,Monica Geller,8,1,1,19
"We found your test in the trash, if you're not pregnant--It's because I am.",Phoebe Buffay,8,1,1,20
"(Flash, the photographer takes a picture of Monica and Chandler's stunned faces.)",Scene Directions,8,1,1,21
What?! What are you talking about?,Chandler Bing,8,1,1,22
What are you talking about?,Monica Geller,8,1,1,23
"Yes, I...I am with child. And I didn't want to say anything because it's your day; I didn't want to steal your thunder.",Phoebe Buffay,8,1,1,24
Wait a minute! So you told people I was pregnant?! Does this look like a conversation that I want to remember?!,Monica Geller,8,1,1,25
Who's the father?,Chandler Bing,8,1,1,26
Yeah!,Monica Geller,8,1,1,27
I can't say.,Phoebe Buffay,8,1,1,28
Why?!,Monica Geller,8,1,1,29
Why not?,Chandler Bing,8,1,1,30
I can't say because he's famous.,Phoebe Buffay,8,1,1,31
"Oh my God, who is it?!",Rachel Green,8,1,1,32
"Phoebe, come on, you have to tell us.",Monica Geller,8,1,1,33
"Okay, okay. It's James Brolin. James Brolin is the father of my baby.",Phoebe Buffay,8,1,1,34
As in Barbara Streisand's husband James Brolin?,Chandler Bing,8,1,1,35
What?! Well he never said that to me!,Phoebe Buffay,8,1,1,36
"[Scene: The Wedding Hall, continued from earlier.]",Scene Directions,8,1,2,1
Why don't we have Monica step away and we'll get Chandler and the bridemaids.,Photographer,8,1,2,2
How about just the bridemaids?,Phoebe Buffay,8,1,2,3
Y'know I am the groom right? I was told it was kinda big deal.,Chandler Bing,8,1,2,4
It is.,Phoebe Buffay,8,1,2,5
For you.,Rachel Green,8,1,2,6
Oh my God!,Phoebe Buffay,8,1,2,7
"Oh, thank you for doing that. I just can't deal with this just quite yet.",Rachel Green,8,1,2,8
So instead you told me Monica was pregnant.,Phoebe Buffay,8,1,2,9
"You said that she was, I just didn't disagree with you.",Rachel Green,8,1,2,10
Sneaky.,Phoebe Buffay,8,1,2,11
Oh yeah.,Rachel Green,8,1,2,12
Smile ladies.,Photographer,8,1,2,13
Oh! Oh by the way?,Rachel Green,8,1,2,14
Uh-hmm.,Phoebe Buffay,8,1,2,15
James Brolin?,Rachel Green,8,1,2,16
"Oh, I know. I could only think of two names, him and Ed Begley Jr. and then I remembered he's gay.",Phoebe Buffay,8,1,2,17
Ed Begley Jr. is not gay.,Rachel Green,8,1,2,18
Really?!,Phoebe Buffay,8,1,2,19
"[Scene: The Reception Hall, the party is in full swing.]",Scene Directions,8,1,3,1
"Thank you very much! Ladies and gentlemen, it gives me great pleasure to introduce to you for the very first time, Mr. and Mrs. Chandler Bing!",Bandleader,8,1,3,2
(They enter.),Scene Directions,8,1,3,3
Before we go out there I've got a present for ya.,Chandler Bing,8,1,3,4
"Honey, I'm going to put my hand in your pocket!",Monica Geller,8,1,3,5
No?,Chandler Bing,8,1,3,6
No.,Monica Geller,8,1,3,7
I've been taking dancing lessons.,Chandler Bing,8,1,3,8
What?!,Monica Geller,8,1,3,9
"Yeah, the last six weeks. I wanted this to be a moment you will never forget.",Chandler Bing,8,1,3,10
Oh that is so sweet!,Monica Geller,8,1,3,11
So? Would you care to join me in our first dance as husband and wife?,Chandler Bing,8,1,3,12
Yes.,Monica Geller,8,1,3,13
(They walk onto the dance floor and Chandler slips and almost falls.),Scene Directions,8,1,3,14
What's the matter?,Monica Geller,8,1,3,15
"I don't know, it's these new shoes, they're all slippery.",Chandler Bing,8,1,3,16
"Well, are you going to be able to do this?",Monica Geller,8,1,3,17
Not well.,Chandler Bing,8,1,3,18
(They start dancing and Chandler starts slipping around.),Scene Directions,8,1,3,19
"Well, the good news is, I don't think anyone's looking at us.",Monica Geller,8,1,3,20
[Cut to Phoebe and Rachel at their table.],Scene Directions,8,1,3,21
"So, are you ready to talk about it?",Phoebe Buffay,8,1,3,22
No.,Rachel Green,8,1,3,23
(Pause),Scene Directions,8,1,3,24
Now?,Phoebe Buffay,8,1,3,25
No!,Rachel Green,8,1,3,26
"Okay, we'll talk about something else then.",Phoebe Buffay,8,1,3,27
