text,speaker,season,episode,scene,utterance
"[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]",Scene Directions,8,2,1,1
"Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",Rachel Green,8,2,1,2
Hey!,Joey Tribbiani,8,2,1,3
"Oh! Joey uh, were you in our room last night?",Phoebe Buffay,8,2,1,4
No. I was told the name of the movie would not appear on the bill!,Joey Tribbiani,8,2,1,5
(Chandler and Monica enter.),Scene Directions,8,2,1,6
Hi! We're checking out of the bridal suite.,Chandler Bing,8,2,1,7
"That's right. I'm no longer a bride. I'll never be a bride again. Now, I'm just someone's wife!",Monica Geller,8,2,1,8
"And I'm the happiest guy in the world! Oh honey, come on don't be upset. We still have so much to look forward to!",Chandler Bing,8,2,1,9
"Oh yeah, right.",Monica Geller,8,2,1,10
We got the honeymoon.,Chandler Bing,8,2,1,11
That's not 'til Thursday.,Monica Geller,8,2,1,12
The wedding pictures?,Chandler Bing,8,2,1,13
They won't be ready for weeks.,Monica Geller,8,2,1,14
Not the disposable cameras from the tables.,Chandler Bing,8,2,1,15
That's true! I knew I married you for a reason!,Monica Geller,8,2,1,16
"I'll tell you what, I will go get them developed and you can go home.",Chandler Bing,8,2,1,17
Okay.,Monica Geller,8,2,1,18
(Joey giggles.),Scene Directions,8,2,1,19
What? What did you take a picture of?,Chandler Bing,8,2,1,20
Nothing! It was something.,Joey Tribbiani,8,2,1,21
"Okay Ross has the cameras, has he checked out yet?",Chandler Bing,8,2,1,22
Are you joking? Check out is not 'til noon and he has a good eleven minutes left.,Rachel Green,8,2,1,23
Oh.,Chandler Bing,8,2,1,24
Ross has never checked out of a room a minute before he had to.,Monica Geller,8,2,1,25
"Yeah, one time, when we were dating, uh we got a late checkout, he got so excited it was the best sex we ever had. Until y'know, he screamed out Radisson at the end.",Rachel Green,8,2,1,26
"Okay, well I'm gonna get Ross, get the cameras, and get them developed. 32 Joe. You're 32!",Chandler Bing,8,2,1,27
Here's a copy of your bill.,Front Desk Clerk,8,2,1,28
"Oh thanks. Champagne, strawberries...Oh my God! I can't believe Chandler ordered porn on our wedding night!",Monica Geller,8,2,1,29
"Yeah, that's sad. Mashuga nut?",Joey Tribbiani,8,2,1,30
"[Scene: Ross's Hotel Room, he is letting Chandler in.]",Scene Directions,8,2,2,1
Hi.,Ross Geller,8,2,2,2
Hey. Soaps? Shampoos? Are you really taking all this stuff?,Chandler Bing,8,2,2,3
Why not? It's built into the price of the room.,Ross Geller,8,2,2,4
Yeah but you don't need--What is this?,Chandler Bing,8,2,2,5
Thread!,Ross Geller,8,2,2,6
Score! Where are the disposable cameras?,Chandler Bing,8,2,2,7
What disposable cameras?,Ross Geller,8,2,2,8
The cameras? Remember last night I told you to take them?,Chandler Bing,8,2,2,9
No you didn't.,Ross Geller,8,2,2,10
"Yes! Remember? Right before we cut the cake, I went up to you and I said...",Chandler Bing,8,2,2,11
"Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and my Uncle Murray came up to you and handed you a check. And then you said, ""Why do they call it a check? Why not a Yugoslavian?"" Yeah, then you did that.",Ross Geller,8,2,2,12
So you don't have the cameras?!,Chandler Bing,8,2,2,13
No. Sorry man.,Ross Geller,8,2,2,14
So? What? What? They're gone! Monica's gonna freak!,Chandler Bing,8,2,2,15
"Well, I'm sure they're still somewhere here in the hotel. I'll-I'll help you look for them.",Ross Geller,8,2,2,16
Great.,Chandler Bing,8,2,2,17
In-in three minutes.,Ross Geller,8,2,2,18
"(Chandler goes into the bathroom, closes the door, and then opens it again right away. Ross looks up and hands him the toilet paper Ross already packed.)",Scene Directions,8,2,2,19
"[Scene: Monica and Chandler's, Phoebe is entering to see Monica sitting in front of a mound of wedding gifts.]",Scene Directions,8,2,3,1
Hey!,Phoebe Buffay,8,2,3,2
Hey!,Monica Geller,8,2,3,3
Are you gonna open the presents without Chandler?,Phoebe Buffay,8,2,3,4
"No! But, they're callin' out to me! I mean this little guy even crawled up into my lap. Oh come on, Chandler wouldn't mind if I opened just one present! What do you think it is?",Monica Geller,8,2,3,5
A little mirror that when you look into it you see yourself as an old woman.,Phoebe Buffay,8,2,3,6
(Monica opens it anyways.),Scene Directions,8,2,3,7
A tiny salt shaker!!!,Monica Geller,8,2,3,8
Ohhh! My God! For tiny salt!,Phoebe Buffay,8,2,3,9
Oh wow! Okay. Well that was fun.,Monica Geller,8,2,3,10
Oh yeah.,Phoebe Buffay,8,2,3,11
"Good. Okay, I'm just gonna wait for Chandler to open the rest of them.",Monica Geller,8,2,3,12
Okay.,Phoebe Buffay,8,2,3,13
"Whew. Although y'know, this is part of a salt and pepper set. I mean... I guess y'know it may just count as a half a present. What do you think?",Monica Geller,8,2,3,14
"Well I guess it's okay to open one more if it's part of a set. Y'know, it's probably this one.",Phoebe Buffay,8,2,3,15
Or this one!,Monica Geller,8,2,3,16
Hi.,Rachel Green,8,2,3,17
"Hey, how are you feelin'? Any morning sickness?",Monica Geller,8,2,3,18
Shh-shh-shh! The guys don't know yet do they?,Rachel Green,8,2,3,19
No! Joey and Ross don't know anything and Chandler still thinks that Phoebe's pregnant.,Monica Geller,8,2,3,20
"Yeah that's right Chandler does still think I'm pregnant. He hasn't asked me how I'm feeling or offered to carry my bags. Boy, I feel bad for the woman who ends up with him. After you of course.",Phoebe Buffay,8,2,3,21
"Don't worry I promise that you will only have to be pregnant for a few more hours, 'cause I'm going to tell the father today.",Rachel Green,8,2,3,22
"Ooh, is it someone in this building? Is it that tall guy from the first floor?",Phoebe Buffay,8,2,3,23
Ew! No!,Rachel Green,8,2,3,24
What?! I think he's cute.,Phoebe Buffay,8,2,3,25
Well then you have his baby.,Rachel Green,8,2,3,26
Believe me I'm trying.,Phoebe Buffay,8,2,3,27
"Wow. Y'know it is so weird. I mean, you're gonna tell this guy today and he has no idea what's gonna happen.",Monica Geller,8,2,3,28
"Yeah. You're just gonna knock on his door and change his life forever. You're like Ed McMahon except without the big check, or the raw sexual magnetism.",Phoebe Buffay,8,2,3,29
"Yeah. Uh-huh, I guess it is pretty big news.",Rachel Green,8,2,3,30
"Pretty big? It's huge! God, this guy doesn't have a clue! He's just walking down the street thinking, 'I had sex with Rachel Green. I rock!' then bam! He's a father and everything's different.",Phoebe Buffay,8,2,3,31
"Well it's only different if he wants it to be. I mean, I'm not gonna ask him for anything.",Rachel Green,8,2,3,32
"Okay. Then he still has this huge decision to make. Now he's walking around thinking, 'Do I want to be a dad?' and then bam!",Phoebe Buffay,8,2,3,33
What was that bam?,Monica Geller,8,2,3,34
I don't. He got...he-he-he-he's hit by a bus.,Phoebe Buffay,8,2,3,35
Hey!,Joey Tribbiani,8,2,3,36
"Hey Joey, what would you do if someone that you slept with told you that she was pregnant?",Rachel Green,8,2,3,37
Who called here? Did she sound blond? Huh? Did-did-did she have an accent? I gotta make a call! I shoulda never walked into that Sunglass Hut!,Joey Tribbiani,8,2,3,38
"Oh Joey! Joey! No, it's not you! You didn't get anybody pregnant!",Rachel Green,8,2,3,39
Oh. Why would you scare me like that? What the hell is going on? Is somebody pregnant?,Joey Tribbiani,8,2,3,40
Oh yeah. That's me.,Phoebe Buffay,8,2,3,41
Oh my God Pheebs! You're gonna have a baby?,Joey Tribbiani,8,2,3,42
"Yes. Yes I am. Oh my God, I'm gonna have a baby!",Phoebe Buffay,8,2,3,43
"Whoa, wait a minute. Who's the father?",Joey Tribbiani,8,2,3,44
You don't know him. It's not important. He wants nothing to do with me or the baby.,Phoebe Buffay,8,2,3,45
Well who is this guy?! Huh? Who is he? 'Cause I will track him down and kick his ass!,Joey Tribbiani,8,2,3,46
David Lynn.,Phoebe Buffay,8,2,3,47
David Lynn! David Lynn! David Lynn!!,Joey Tribbiani,8,2,3,48
Who's David Lynn?,Monica Geller,8,2,3,49
Oh some guy from my gym. A little annoying.,Phoebe Buffay,8,2,3,50
"[Scene: The Banquet Room, Chandler is under one of the tables as Ross enters.]",Scene Directions,8,2,4,1
Chandler?,Ross Geller,8,2,4,2
Hey! Did you find the cameras?,Chandler Bing,8,2,4,3
No. Did you?,Ross Geller,8,2,4,4
Yes! And that's why I'm under the table. Celebrating.,Chandler Bing,8,2,4,5
"Well I checked in the uh, lost and found, I talked to the manager, no-one's turned them.",Ross Geller,8,2,4,6
"Well this is great. Y'know, those cameras were the only thing that was gonna cheer Monica up today, she's really depressed.",Chandler Bing,8,2,4,7
"Now you guys just got married, why is she so depressed?",Ross Geller,8,2,4,8
All my energy is going into not asking that question. I can't believe I screwed this up!,Chandler Bing,8,2,4,9
I'm sorry man. Here's a thought. This is the same ballroom. There's a band. There's gonna be plenty of dressed up people.,Ross Geller,8,2,4,10
Are you suggesting we dance our troubles away?,Chandler Bing,8,2,4,11
"No-no-no, I'm saying we-we buy more of this at the gift shop, throw our tuxes back on, and take a few pictures. All we have to do is make sure not to get anybody else's faces.",Ross Geller,8,2,4,12
Are you serious?,Chandler Bing,8,2,4,13
I'm just thinking about your new bride at home. Okay? Do-do you really want to start your life together by letting her down?,Ross Geller,8,2,4,14
Marriage advice? Really?!,Chandler Bing,8,2,4,15
"I'm telling you, this looks exactly like your wedding! Aren't these the same flowers?",Ross Geller,8,2,4,16
