text,speaker,season,episode,scene,utterance
"[Scene: Monica and Chandler's, Monica and Chandler are getting ready to go on their honeymoon. Monica is entering from the bedroom.]",Scene Directions,8,3,1,1
Hey! Babe! Aren't you excited we're going on our honeymoon?,Chandler Bing,8,3,1,2
Yeah I am!,Monica Geller,8,3,1,3
"Bermuda, Bahama, come on pretty mama...",Chandler Bing,8,3,1,4
That's right. Get it out of your system while we're alone.,Monica Geller,8,3,1,5
Hey!,Joey Tribbiani,8,3,1,6
Yeah! Have a great honeymoon!,Phoebe Buffay,8,3,1,7
I'd better go pack.,Chandler Bing,8,3,1,8
"Oh no, I already packed. The only thing I couldn't find though was your Speedo.",Monica Geller,8,3,1,9
"(Joey looks at him, Phoebe tries not to smile, and Chandler is shocked.)",Scene Directions,8,3,1,10
"A Speedo? Uh, I don't have a Speedo. I'm gonna go pack my regular long bathing suit.",Chandler Bing,8,3,1,11
Oh good you're still here!,Rachel Green,8,3,1,12
Hey!,Monica Geller,8,3,1,13
I want to tell you to have a good honeymoon!,Rachel Green,8,3,1,14
Thank you.,Monica Geller,8,3,1,15
And I also wanted you guys to know that I am telling the father today. What? What? What?,Rachel Green,8,3,1,16
(Pause.),Scene Directions,8,3,1,17
We know its Ross!,Joey Tribbiani,8,3,1,18
How?! How do you know?,Rachel Green,8,3,1,19
"It was his sweater, but-Oh my God!",Phoebe Buffay,8,3,1,20
"Oh, I so wanted Ross to know first, but I'm so relieved you guys know.",Rachel Green,8,3,1,21
This is so great! And I'm gonna be your baby's aunt!,Monica Geller,8,3,1,22
I know!,Rachel Green,8,3,1,23
Me too!,Phoebe Buffay,8,3,1,24
I'm gonna be an uncle! Come here!,Joey Tribbiani,8,3,1,25
You're all gonna be aunts and uncles.,Rachel Green,8,3,1,26
"Yeah, but I'm the only one related by blood.",Monica Geller,8,3,1,27
Okay. Great! So now that you guys all know you can help me. Give me some advice on how I'm gonna tell Ross!,Rachel Green,8,3,1,28
"Well, what were you gonna say?",Monica Geller,8,3,1,29
Well I was gonna tell him that I'm-I'm gonna have the baby and he can be as involved as he wants.,Rachel Green,8,3,1,30
"Well that, that sounds good.",Joey Tribbiani,8,3,1,31
"Yeah but how do I start? I mean, what's-what's the first thing that I say? Okay great! Thanks.",Rachel Green,8,3,1,32
Hey! Good luck!,Monica Geller,8,3,1,33
"Yeah, bye.",Phoebe Buffay,8,3,1,34
Bye.,Joey Tribbiani,8,3,1,35
(Rachel exits.),Scene Directions,8,3,1,36
"Hey, what was that all about?",Chandler Bing,8,3,1,37
"Well I guess there is no harm in telling you now, Rachel and Ross are gonna have a baby.",Monica Geller,8,3,1,38
What?! I didn't even know that-Why didn't you tell me?! Why am I talking like this?!,Chandler Bing,8,3,1,39
I didn't think you could keep it a secret.,Monica Geller,8,3,1,40
What?! I am an excellent secret keeper. I have kept all of our secrets.,Chandler Bing,8,3,1,41
What secrets?,Joey Tribbiani,8,3,1,42
"Oh no-no Joey, I am not going to tell you because I am an excellent secret keeper.",Chandler Bing,8,3,1,43
(The girls walk away.),Scene Directions,8,3,1,44
You'll tell me later?,Joey Tribbiani,8,3,1,45
You already know.,Chandler Bing,8,3,1,46
"[Scene: Joey and Rachel's, Joey and Phoebe are entering.]",Scene Directions,8,3,2,1
"Oh, it's so romantic to send people off on their honeymoon.",Phoebe Buffay,8,3,2,2
"Y'know, Monica and Chandler are married. Ross and Rachel are having a baby. Maybe you and I should do something.",Joey Tribbiani,8,3,2,3
All in good time my love. All in good time. Oh shoot! I left my guitar in their apartment. Well you can let me in later.,Phoebe Buffay,8,3,2,4
"I don't have a key, they took mine to give to you.",Joey Tribbiani,8,3,2,5
What?! They took mine to give to you!,Phoebe Buffay,8,3,2,6
Why would they take away our keys?,Joey Tribbiani,8,3,2,7
Maybe they don't trust us.,Phoebe Buffay,8,3,2,8
No that's not it. They let me keep my key the last time they were out of town.,Joey Tribbiani,8,3,2,9
You mean the time you broke the ketchup bottle and cleaned it up with Monica's guest towels?,Phoebe Buffay,8,3,2,10
"Hey, I washed those!",Joey Tribbiani,8,3,2,11
No you didn't.,Phoebe Buffay,8,3,2,12
Yeah that didn't sound like me.,Joey Tribbiani,8,3,2,13
"Well, what am I gonna do? I really need my guitar!",Phoebe Buffay,8,3,2,14
"Yeah, I have stuff in there too.",Joey Tribbiani,8,3,2,15
What stuff?,Phoebe Buffay,8,3,2,16
"Monica's chicken parm! I'll take care of it. Hey Mr. Treeger, it's Joey Tribbiani. Listen, I need to get into Monica and Chandler's apartment. It's an emergency. Uhh, gas leak! Yeah oh, and bring garlic bread.",Joey Tribbiani,8,3,2,17
Hey!,Ross Geller,8,3,2,18
Did Rachel find you?,Phoebe Buffay,8,3,2,19
No why?,Ross Geller,8,3,2,20
Oh she was looking for you.,Phoebe Buffay,8,3,2,21
"Oh well, I guess I'll catch up with her later.",Ross Geller,8,3,2,22
"Well, she really wanted to talk to you now.",Phoebe Buffay,8,3,2,23
"Yeah, it seemed pretty important.",Joey Tribbiani,8,3,2,24
Oh no.,Ross Geller,8,3,2,25
What?,Phoebe Buffay,8,3,2,26
I think I might know what this is about.,Ross Geller,8,3,2,27
(Phoebe and Joey trade looks),Scene Directions,8,3,2,28
