"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:1","Wedding","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures.","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Hall","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures.","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Monica","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures.","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Chandler","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures.","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Monica","First of Monica, Chandler, Ross and Joey.]","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Chandler","First of Monica, Chandler, Ross and Joey.]","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Ross","First of Monica, Chandler, Ross and Joey.]","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:1","Joey","First of Monica, Chandler, Ross and Joey.]","[Scene: The Wedding Hall, Monica and Chandler have just said ""I do,"" and the photographer is taking the required pictures. First of Monica, Chandler, Ross and Joey.]",1,"`text`"
"Col:text Row:2","Great.","Great.","Great. Great! Just give me a sec to change film.",1,"`text`"
"Col:speaker Row:3","Monica","Monica Geller","Monica Geller",46,"`speaker`"
"Col:speaker Row:3","Geller","Monica Geller","Monica Geller",46,"`speaker`"
"Col:speaker Row:4","Ross","Ross Geller","Ross Geller",39,"`speaker`"
"Col:speaker Row:4","Geller","Ross Geller","Ross Geller",39,"`speaker`"
"Col:speaker Row:5","Joey","Joey Tribbiani","Joey Tribbiani",25,"`speaker`"
"Col:speaker Row:5","Tribbiani","Joey Tribbiani","Joey Tribbiani",25,"`speaker`"
"Col:text Row:6","Monica","Monica's pregnant!","Monica's pregnant!",1,"`text`"
"Col:text Row:7","God","Oh my God!","Oh my God! Is that why you guys had to get married?!",1,"`text`"
"Col:text Row:13","Monica","Now why don't we get a shot of just Monica and the bloody soldier.","Now why don't we get a shot of just Monica and the bloody soldier.",1,"`text`"
"Col:text Row:16","France","Anything that doesn't say I-I died tragically in France.","Find some! Please! Anything that doesn't say I-I died tragically in France.",1,"`text`"
"Col:text Row:18","Mon","Hey Mon, why did you tell the guys you weren't pregnant?","Okay. Hey Mon, why did you tell the guys you weren't pregnant?",1,"`text`"
"Col:speaker Row:18","Phoebe","Phoebe Buffay","Phoebe Buffay",43,"`speaker`"
"Col:speaker Row:18","Buffay","Phoebe Buffay","Phoebe Buffay",43,"`speaker`"
"Col:text Row:21","Monica","(Flash, the photographer takes a picture of Monica and Chandler's stunned faces.)","(Flash, the photographer takes a picture of Monica and Chandler's stunned faces.)",1,"`text`"
"Col:text Row:21","Chandler","(Flash, the photographer takes a picture of Monica and Chandler's stunned faces.)","(Flash, the photographer takes a picture of Monica and Chandler's stunned faces.)",1,"`text`"
"Col:speaker Row:22","Chandler","Chandler","Chandler Bing",24,"`speaker`"
"Col:speaker Row:22","Bing","Bing","Chandler Bing",24,"`speaker`"
"Col:text Row:32","God","Oh my God, who is it?!","Oh my God, who is it?!",1,"`text`"
"Col:speaker Row:32","Rachel","Rachel Green","Rachel Green",46,"`speaker`"
"Col:speaker Row:32","Green","Rachel Green","Rachel Green",46,"`speaker`"
"Col:text Row:33","Phoebe","Phoebe, come on, you have to tell us.","Phoebe, come on, you have to tell us.",1,"`text`"
"Col:text Row:34","James","It's James Brolin.","Okay, okay. It's James Brolin. James Brolin is the father of my baby.",1,"`text`"
"Col:text Row:34","Brolin","It's James Brolin.","Okay, okay. It's James Brolin. James Brolin is the father of my baby.",1,"`text`"
"Col:text Row:34","James","James Brolin is the father of my baby.","Okay, okay. It's James Brolin. James Brolin is the father of my baby.",1,"`text`"
"Col:text Row:34","Brolin","James Brolin is the father of my baby.","Okay, okay. It's James Brolin. James Brolin is the father of my baby.",1,"`text`"
"Col:text Row:35","Barbara","As in Barbara Streisand's husband James Brolin?","As in Barbara Streisand's husband James Brolin?",1,"`text`"
"Col:text Row:35","Streisand","As in Barbara Streisand's husband James Brolin?","As in Barbara Streisand's husband James Brolin?",1,"`text`"
