"ID","Token","Sentence","Document","Repeats","Affected Columns"
"Col:text Row:1","Hotel","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]",1,"`text`"
"Col:text Row:1","Lobby","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]",1,"`text`"
"Col:text Row:1","Rachel","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]",1,"`text`"
"Col:text Row:1","Phoebe","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]","[Scene: The Hotel Lobby, Rachel and Phoebe are at the front desk checking out.]",1,"`text`"
"Col:text Row:2","Mashuga","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:text Row:2","Dr.","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:text Row:2","Do","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:text Row:2","-Me","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:text Row:2","-A","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:text Row:2","Little","For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!","Listen y'know what sir? For the last time, I don't care what the computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not watch Dr. Do-Me-A-Little!",1,"`text`"
"Col:speaker Row:2","Rachel","Rachel Green","Rachel Green",35,"`speaker`"
"Col:speaker Row:2","Green","Rachel Green","Rachel Green",35,"`speaker`"
"Col:speaker Row:3","Joey","Joey Tribbiani","Joey Tribbiani",35,"`speaker`"
"Col:speaker Row:3","Tribbiani","Joey Tribbiani","Joey Tribbiani",35,"`speaker`"
"Col:speaker Row:4","Phoebe","Phoebe Buffay","Phoebe Buffay",51,"`speaker`"
"Col:speaker Row:4","Buffay","Phoebe Buffay","Phoebe Buffay",51,"`speaker`"
"Col:text Row:6","Chandler","(Chandler and Monica enter.)","(Chandler and Monica enter.)",1,"`text`"
"Col:text Row:6","Monica","(Chandler and Monica enter.)","(Chandler and Monica enter.)",1,"`text`"
"Col:speaker Row:7","Chandler","Chandler","Chandler Bing",43,"`speaker`"
"Col:speaker Row:7","Bing","Bing","Chandler Bing",43,"`speaker`"
"Col:speaker Row:8","Monica","Monica Geller","Monica Geller",41,"`speaker`"
"Col:speaker Row:8","Geller","Monica Geller","Monica Geller",41,"`speaker`"
"Col:text Row:12","Thursday","That's not 'til Thursday.","That's not 'til Thursday.",1,"`text`"
"Col:text Row:19","Joey","(Joey giggles.)","(Joey giggles.)",1,"`text`"
"Col:text Row:22","Ross","Okay Ross has the cameras, has he checked out yet?","Okay Ross has the cameras, has he checked out yet?",1,"`text`"
"Col:text Row:25","Ross","Ross has never checked out of a room a minute before he had to.","Ross has never checked out of a room a minute before he had to.",1,"`text`"
"Col:text Row:26","Radisson","Until y'know, he screamed out Radisson at the end.","Yeah, one time, when we were dating, uh we got a late checkout, he got so excited it was the best sex we ever had. Until y'know, he screamed out Radisson at the end.",1,"`text`"
"Col:text Row:27","Ross","Okay, well I'm gonna get Ross, get the cameras, and get them developed.","Okay, well I'm gonna get Ross, get the cameras, and get them developed. 32 Joe. You're 32!",1,"`text`"
"Col:text Row:27","Joe","32 Joe.","Okay, well I'm gonna get Ross, get the cameras, and get them developed. 32 Joe. You're 32!",1,"`text`"
"Col:speaker Row:28","Front","Front Desk Clerk","Front Desk Clerk",1,"`speaker`"
"Col:speaker Row:28","Desk","Front Desk Clerk","Front Desk Clerk",1,"`speaker`"
"Col:speaker Row:28","Clerk","Front Desk Clerk","Front Desk Clerk",1,"`speaker`"
