"","doc_id","token","sentence","Repeats","Affected Columns"
"1","Doc1 Row:1 Col:Text","Darcy","was sure of being liked wherever he appeared, Darcy was continually",1,"`Text`"
"2","Doc100 Row:100 Col:Text","Miss","Miss Bingley sees that her brother is",1,"`Text`"
"3","Doc100 Row:100 Col:Text","Bingley","Miss Bingley sees that her brother is",1,"`Text`"
"4","Doc1001 Row:1 Col:Reference","N","5d23N",112,"`Reference`"
"5","Doc1004 Row:4 Col:Reference","nyEWd","nyEWd",94,"`Reference`"
"6","Doc1009 Row:9 Col:Reference","Q3","Q3Mja",101,"`Reference`"
"7","Doc1009 Row:9 Col:Reference","Mja","Q3Mja",101,"`Reference`"
"8","Doc1012 Row:12 Col:Reference","TGzfh","TGzfh",102,"`Reference`"
"9","Doc103 Row:103 Col:Text","Elizabeth","Elizabeth was chiefly struck by his extraordinary deference for Lady",1,"`Text`"
"10","Doc103 Row:103 Col:Text","Lady","Elizabeth was chiefly struck by his extraordinary deference for Lady",1,"`Text`"
"11","Doc1030 Row:30 Col:Reference","yQdWV","yQdWV",107,"`Reference`"
"12","Doc104 Row:104 Col:Text","Charlotte","mind; Charlotte tried to console her:",1,"`Text`"
"13","Doc109 Row:109 Col:Text","Elizabeth","cousin Elizabeth.""",1,"`Text`"
"14","Doc114 Row:114 Col:Text","Elizabeth","Elizabeth could not help smiling at his easy manner of directing his",1,"`Text`"
"15","Doc119 Row:119 Col:Text","Mr.","been very imprudent, and has deserved to lose Mr. Darcy's regard.""",1,"`Text`"
"16","Doc119 Row:119 Col:Text","Darcy","been very imprudent, and has deserved to lose Mr. Darcy's regard.""",1,"`Text`"
"17","Doc121 Row:121 Col:Text","Darcy","""Your list of the common extent of accomplishments,"" said Darcy, ""has",1,"`Text`"
"18","Doc124 Row:124 Col:Text","Elizabeth","Elizabeth's seeming really, with vexed and embarrassed looks, about to",1,"`Text`"
"19","Doc127 Row:127 Col:Text","Elizabeth","kept her place at the table; but Elizabeth, to satisfy her mother, went",1,"`Text`"
"20","Doc13 Row:13 Col:Text","Colonel","I shall tell Colonel",1,"`Text`"
"21","Doc133 Row:133 Col:Text","Mr.","The whole party were in hopes of a letter from Mr. Bennet the next",1,"`Text`"
"22","Doc133 Row:133 Col:Text","Bennet","The whole party were in hopes of a letter from Mr. Bennet the next",1,"`Text`"
"23","Doc137 Row:137 Col:Text","Mr.","Mr. Bennet was not imagined to be very rich, he would have been able",1,"`Text`"
"24","Doc137 Row:137 Col:Text","Bennet","Mr. Bennet was not imagined to be very rich, he would have been able",1,"`Text`"
"25","Doc139 Row:139 Col:Text","Mrs.","in Mrs. Gardiner, who, fatigued by the exercise of the morning, found",1,"`Text`"
"26","Doc139 Row:139 Col:Text","Gardiner","in Mrs. Gardiner, who, fatigued by the exercise of the morning, found",1,"`Text`"
"27","Doc140 Row:140 Col:Text","Mr.","""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do",1,"`Text`"
