"","doc_id","token","sentence","Repeats","Affected Columns"
"1","Doc10 Row:10 Col:Text","Brandon","Brandon; he threatened me with rain when I wanted it to be fine; he has",1,"`Text`"
"2","Doc1001 Row:1 Col:Reference","Jlacv","Jlacv",95,"`Reference`"
"3","Doc1006 Row:6 Col:Reference","TCnok","TCnok",107,"`Reference`"
"4","Doc101 Row:101 Col:Text","Elinor","Believe me,"" and Elinor spoke",1,"`Text`"
"5","Doc1010 Row:10 Col:Reference","zxBDE","zxBDE",102,"`Reference`"
"6","Doc122 Row:122 Col:Text","Marianne","Marianne's lips quivered, and she repeated the word ""Selfish?""",1,"`Text`"
"7","Doc13 Row:13 Col:Text","Marianne","Marianne, to the surprise of her sister, determined on dining with",1,"`Text`"
"8","Doc140 Row:140 Col:Text","Charlotte","""How charming it will be,"" said Charlotte, ""when he is in",1,"`Text`"
"9","Doc143 Row:143 Col:Text","Mrs.","Mrs. Dashwood feared to",1,"`Text`"
"10","Doc143 Row:143 Col:Text","Dashwood","Mrs. Dashwood feared to",1,"`Text`"
"11","Doc144 Row:144 Col:Text","Elinor","long; Elinor had hardly got their last visitors out of her head, had",1,"`Text`"
"12","Doc149 Row:149 Col:Text","Elinor","But it was neither in Elinor's power, nor in",1,"`Text`"
"13","Doc152 Row:152 Col:Text","Mr.","""Mr. Brandon was very well I hope?""",1,"`Text`"
"14","Doc152 Row:152 Col:Text","Brandon","""Mr. Brandon was very well I hope?""",1,"`Text`"
"15","Doc153 Row:153 Col:Text","Elinor","sister's being there, quitted the room in quest of her; and Elinor was",1,"`Text`"
"16","Doc158 Row:158 Col:Text","Elinor","Elinor could not suppose that Sir John would be more nice in",1,"`Text`"
"17","Doc158 Row:158 Col:Text","Sir","Elinor could not suppose that Sir John would be more nice in",1,"`Text`"
"18","Doc158 Row:158 Col:Text","John","Elinor could not suppose that Sir John would be more nice in",1,"`Text`"
"19","Doc166 Row:166 Col:Text","Eliza","love Eliza; and my affection for her, as we grew up, was such, as",1,"`Text`"
"20","Doc177 Row:177 Col:Text","Elinor","""This is beyond every thing!"" exclaimed Elinor.",1,"`Text`"
"21","Doc182 Row:182 Col:Text","Delaford","Delaford is a nice place, I can tell you;",1,"`Text`"
"22","Doc184 Row:184 Col:Text","Lucy","Lucy, with a demure and settled air, seemed determined to make no",1,"`Text`"
"23","Doc188 Row:188 Col:Text","kind","meeting of the kind Willoughby was included; and the ease and",1,"`Text`"
"24","Doc188 Row:188 Col:Text","Willoughby","meeting of the kind Willoughby was included; and the ease and",1,"`Text`"
"25","Doc19 Row:19 Col:Text","Marianne","At these words, Marianne's eyes expressed the astonishment which her",1,"`Text`"
"26","Doc191 Row:191 Col:Text","Colonel","Colonel Brandon tell you of it!",1,"`Text`"
"27","Doc191 Row:191 Col:Text","Brandon","Colonel Brandon tell you of it!",1,"`Text`"
"28","Doc192 Row:192 Col:Text","Mrs.","""You know him then,"" said Mrs. Dashwood.",1,"`Text`"
"29","Doc192 Row:192 Col:Text","Dashwood","""You know him then,"" said Mrs. Dashwood.",1,"`Text`"
